Timestamp,Consumo ClO2 Etapa D0 L1,Consumo ClO2 Etapa D1 L1,Consumo ClO2 Etapa D2 L1,Consumo Total ClO2,Kappa Entr Prensa preblanqueo L1,Brillo D0 DCS,PH etapa D0,PH etapa D0 indirecta,PH Etapa EOP,Minikappa EOp (DCS),PH Etapa EOP indirecta,Brillo  Entrada Torre D1,PH etapa D1,PH etapa D1 indirecta,PH etapa D2 indirecta,Brillo D2 DCS L1,Conductividad Prensa PreBlanqueo,CE05_IP21_547FI1019,Flujo H2SO4 Etapa D0,Flujo CLO2 Etapa D0,Flujo NaOH Etapa Eop,Flujo H2O2 Etapa Eop,Flujo O2 Etapa Eop,Flujo NaOH Etapa D1,Cons. H2SO4 Etapa D1,Flujo ClO2 Etapa D1,Flujo CLO2 Etapa D2,Flujo Bisulfito a Etapa D2,Factor dil prensa D0 L1,Factor dil prensa E0P L1,Factor dil prensa D1 L1,Factor dil prensa D2 L1,Factor dil prensa pre Blanq. L1,Nivel Etapa DO,Nivel Etapa EOP,Nivel Etapa D1,Nivel Etapa D2,Nivel Etapa D0 _2,Nivel Etapa Eop_2,Nivel Etapa D2_2,Consist entrada prensa Pre-Blanq,Consistencia entrada prensa D0,Consistencia aliment. Torre EoP,Consistencia entrada prensa EOP,Consistencia aliment. Torre D1,Consistencia entrada prensa D1,Consistencia aliment. Torre D2,Consistencia entrada prensa D2,Control Cs entrada P. Pre-Blanq,Control Cs entrada prensa D0,Control Cs entrada prensa EOP,Control Cs entrada prensa D1,Control Cs entrada prensa D2,Consistencia Etapa Eop,Consistencia Etapa D1,Consistencia Etapa D2,Presion OP-Reactor ,Presion OP-Reactor _2,Temperatura Etapa D0,Temperatura OP-Reactor ,Temperatura Etapa D1,Temperatura Etapa D2,Agua de Lavado prensa preblanqueo,Pulp to OP Stage,Temperatura Etapa Eop,Pulp to D1-stage,Pulp D2-stage,Torque Motor Hidráulico preblanqueo,Torque Motor Hidraulico D0,Torque Motor Hidraulico D1,Torque maximo prensa EOP,Torque maximo prensa D2,Producción prensa D0,Producción prensa Eop,Producción prensa D1,Producción prensa D2,Produccion Prensa Pre-Blanq L1,Consumo ClO2 L1,Brillo Salida Torre D1,post D1 pH,Totalizador CIO2 L1,Flujo NaOH Etapa D2,Flujo H2SO4 Etapa D0 L1,Consumo ClO2 Etapa D0,Consumo H2SO4 Etapa D0 L1,Cons. Específico  O2 EOP,Consumo H2O2 Etapa Eop,Consumo NaOH Etapa Eop,Consumo ClO2 Etapa D1,Consumo NaOH Etapa D1,Consumo ClO2 Etapa D2,Consumo NaOH Etapa D2,Consumo Bisulfito Etapa D2,Conduct. Filt. Pre-Blanq L1,Blancura D0 (Lab) L1,Blancura D1 (Lab) L1,Blancura D2 (Lab) L1,Concentracion CLO2,CONSUMO ESPECIFICO CLO2,CUMPLE O  NO CUMPLE
2019-04-01 00:00:00,0.178,0.096,0.021,0.447,11.354,55.805,2.757,3.055,10.966,1.4,10.818,74.842,9.55,3.687,4.397,89.417,0.0,0.0,0,20.019,0.768,0.065,0.127,0.426,0.0,10.374,2.334,0.282,1.65,0.878,0.7,-1.549,2.287,66.337,45.815,77.11,76.176,66.548,46.684,76.135,5.403,5.217,10.13,5.605,9.649,5.574,13.087,5.34,5.397,5.154,5.612,5.538,5.245,11.794,11.342,11.581,482.562,485.855,67.606,88.157,83.191,84.487,766.649,81.616,85.897,90.173,81.693,30.82,25.95,27.27,32.289,28.503,1352.23,1437.972,1436.337,1519.309,1379.43,18.206,90.093,3.687,14.297,0.102,0.029,11.709,3.197,7.674,3.687,12.95,5.907,6.879,1.327,1.658,1.6,6947.273,51.5,88.2,89.7,9.162,18.652552014860664,
2019-04-01 00:02:00,0.18,0.095,0.021,0.453,11.354,55.807,2.756,3.055,10.759,1.4,10.824,75.361,9.55,3.689,4.403,89.443,0.0,0.0,0,20.3,0.768,0.065,0.127,0.426,0.0,10.288,2.338,0.282,1.626,0.874,0.696,-1.558,1.916,67.142,46.447,76.863,76.13,66.734,47.417,76.11,5.407,5.326,10.57,5.597,9.918,5.468,12.957,5.24,5.366,5.25,5.589,5.503,5.295,11.814,11.35,11.645,480.577,483.118,67.949,88.169,83.606,84.489,766.649,81.687,85.982,89.898,81.764,30.448,27.236,28.411,32.857,31.228,1364.99,1434.069,1456.974,1529.725,1385.99,18.403,90.084,3.687,14.354,0.103,0.029,11.8,3.209,7.825,3.692,13.098,5.929,6.868,1.33,1.663,1.598,6953.727,51.5,88.2,89.7,9.162,18.572043204633005,
2019-04-01 00:04:00,0.179,0.096,0.021,0.456,11.354,55.822,2.755,3.055,10.799,1.4,10.834,75.187,9.55,3.691,4.41,89.355,0.0,0.0,0,19.798,0.768,0.065,0.127,0.426,0.0,10.351,2.343,0.282,1.601,0.871,0.693,-1.567,2.098,66.251,45.372,76.875,76.176,66.504,47.625,76.217,5.392,5.224,10.38,5.603,9.805,5.52,12.923,5.345,5.397,5.217,5.598,5.548,5.359,11.793,11.371,11.714,477.044,479.8,66.209,88.176,83.711,84.575,766.649,81.643,86.15,89.946,81.822,30.712,26.231,27.467,33.304,32.195,1358.63,1436.192,1451.512,1540.402,1396.73,18.247,90.074,3.687,14.311,0.103,0.029,11.781,3.22,7.872,3.698,12.906,5.84,6.858,1.334,1.669,1.596,6960.182,51.5,88.2,89.7,9.163,18.386247155517292,
2019-04-01 00:06:00,0.182,0.095,0.021,0.454,11.354,55.768,2.758,3.055,10.69,1.4,10.849,75.49,9.55,3.693,4.416,89.475,0.0,0.0,0,20.091,0.768,0.065,0.127,0.427,0.0,10.244,2.347,0.282,1.638,0.868,0.69,-1.576,2.0,66.37,46.657,76.975,75.99,66.444,47.087,75.946,5.377,5.151,10.297,5.609,9.508,5.499,12.863,5.307,5.425,5.184,5.613,5.568,5.273,11.753,11.346,11.622,481.14,487.139,67.868,88.182,83.125,84.639,766.649,81.782,86.166,90.416,81.754,30.646,26.897,28.397,32.365,28.736,1359.28,1433.795,1447.185,1533.525,1394.82,18.44,90.064,3.688,14.269,0.104,0.029,11.72,3.231,7.956,3.703,12.998,5.833,6.865,1.337,1.674,1.594,6966.636,51.5,88.2,89.7,9.163,18.51719279479202,
2019-04-01 00:08:00,0.179,0.094,0.021,0.444,11.353,55.742,2.76,3.055,10.914,1.4,10.865,74.89,9.55,3.695,4.423,89.463,0.0,0.0,0,20.198,0.769,0.065,0.128,0.427,0.0,10.487,2.351,0.282,1.619,0.865,0.686,-1.585,1.76,66.299,45.386,77.111,75.915,66.553,46.758,75.909,5.362,5.154,10.667,5.615,9.654,5.378,12.865,5.188,5.402,5.209,5.623,5.516,5.277,11.8,11.298,11.707,480.44,484.301,67.213,88.189,83.445,84.448,766.649,81.684,86.157,89.816,81.791,30.787,26.803,29.318,33.162,29.893,1356.15,1435.008,1469.168,1540.689,1390.36,18.389,90.05,3.688,14.526,0.104,0.029,11.758,3.242,7.924,3.708,13.087,5.924,6.873,1.34,1.679,1.591,6973.091,51.5,88.2,89.7,9.163,18.650177546561995,
2019-04-01 00:10:00,0.184,0.095,0.022,0.439,11.353,55.768,2.762,3.056,11.221,1.4,10.881,75.252,9.549,3.698,4.429,89.349,0.0,0.0,0,20.317,0.769,0.065,0.128,0.427,0.0,10.474,2.356,0.282,1.596,0.862,0.655,-1.594,2.008,67.298,45.586,77.051,75.978,67.026,47.063,75.954,5.401,5.004,10.507,5.621,9.679,5.515,13.143,5.343,5.394,5.129,5.634,5.542,5.302,11.847,11.311,11.725,480.838,484.716,67.366,88.162,83.664,84.381,766.649,81.575,86.004,89.779,81.79,30.598,26.237,29.418,32.957,32.259,1354.77,1434.171,1478.546,1532.377,1392.22,18.488,90.094,3.689,14.332,0.104,0.029,11.742,3.253,7.904,3.713,12.948,5.906,6.881,1.343,1.685,1.589,6979.545,51.5,88.2,89.7,9.163,18.69805988991603,
2019-04-01 00:12:00,0.183,0.096,0.021,0.435,11.353,55.64,2.764,3.056,10.751,1.4,10.897,74.711,9.549,3.7,4.436,89.461,0.0,0.0,0,20.24,0.769,0.065,0.128,0.427,0.0,10.189,2.384,0.282,1.579,0.859,0.654,-1.563,2.055,66.536,46.366,76.962,76.098,66.547,47.582,76.123,5.428,5.197,10.685,5.608,10.016,5.526,12.869,5.271,5.385,5.198,5.612,5.509,5.275,11.756,11.313,11.629,482.472,486.013,68.099,88.182,83.51,83.284,766.649,81.737,86.008,89.98,81.615,30.438,26.164,29.218,33.702,30.016,1359.72,1433.935,1485.454,1533.8,1389.51,18.439,90.094,3.689,14.162,0.103,0.029,11.73,3.263,7.846,3.719,12.925,5.855,6.89,1.347,1.69,1.587,6986.0,51.5,88.2,89.7,9.163,18.44535530006197,
2019-04-01 00:14:00,0.186,0.095,0.022,0.441,11.352,55.59,2.766,3.056,10.638,1.4,10.912,74.867,9.549,3.702,4.443,89.479,0.0,0.0,0,19.985,0.768,0.065,0.128,0.428,0.0,10.661,2.452,0.283,1.589,0.86,0.68,-1.515,1.985,66.633,44.927,76.787,76.048,66.642,46.711,76.096,5.369,5.126,10.523,5.601,9.573,5.373,13.034,5.382,5.377,5.161,5.603,5.384,5.358,11.793,11.346,11.607,482.474,486.913,67.488,88.228,83.1,84.043,766.649,81.696,86.048,89.688,81.539,30.543,26.794,28.621,33.099,32.337,1356.47,1428.308,1465.796,1535.938,1382.05,18.264,90.094,3.69,14.814,0.103,0.029,11.665,3.274,7.979,3.724,13.061,6.092,6.898,1.349,1.696,1.584,6992.455,51.5,88.2,89.7,9.163,18.685856198381636,
2019-04-01 00:16:00,0.203,0.106,0.024,0.472,11.352,55.531,2.769,3.056,10.848,1.4,10.928,74.811,9.549,3.704,4.449,89.492,0.0,0.0,0,20.059,0.764,0.064,0.129,0.428,0.0,10.284,2.372,0.283,1.565,0.88,0.692,-1.51,1.893,66.553,46.666,76.696,76.005,66.507,47.408,76.012,5.398,5.311,10.273,5.593,9.887,5.595,13.299,5.31,5.4,5.346,5.595,5.621,5.294,11.789,11.381,11.635,479.28,483.254,67.549,88.306,83.368,84.194,766.649,81.724,85.951,89.8,81.584,31.135,26.293,27.385,33.453,29.09,1363.63,1428.185,1473.552,1539.83,1395.69,20.362,90.094,3.69,14.325,0.103,0.029,11.65,3.293,7.895,3.729,13.039,5.904,6.902,1.33,1.701,1.582,6998.909,51.5,88.2,89.7,9.163,18.39039417504774,
2019-04-01 00:18:00,0.198,0.104,0.024,0.429,11.352,55.572,2.771,3.056,10.827,1.4,10.944,75.615,9.549,3.706,4.456,89.505,0.0,0.0,0,20.081,0.76,0.064,0.129,0.428,0.0,10.581,2.379,0.283,1.603,0.927,0.702,-1.505,1.681,67.175,46.454,76.793,76.06,67.014,47.711,76.125,5.404,5.262,10.436,5.585,9.975,5.545,12.962,5.384,5.412,5.193,5.587,5.54,5.318,11.779,11.383,11.633,477.878,481.291,67.811,88.196,83.788,84.228,766.649,81.828,86.08,90.448,81.665,30.081,27.777,28.713,33.306,32.022,1355.64,1435.93,1471.405,1531.887,1385.9,20.365,90.072,3.691,14.658,0.102,0.029,11.85,3.313,7.94,3.756,13.071,5.901,6.897,1.31,1.7,1.58,7005.364,51.5,88.2,89.7,9.163,18.649683016927604,
